# Diamond Quick pitchers | 2026-06-28 to 2026-07-11 | 18 of 123 tournaments | top 100 by IP
Name	VAL	VLvl	Hand	IP	GSper	IPpergame	RA9	ERA	wOBAA	K9	BB9	HR9	BABIP
Payton Tolle	99	0	L	1346.7	0.968	6.12	3.69	3.44	0.291	8.12	1.83	0.86	0.299
Steve Carlton	96	0	L	909.6	0.602	4.53	3.44	3.11	0.282	8.27	2.92	0.70	0.284
Bob Friend	99	0	R	785	0.631	4.67	4.16	3.89	0.306	5.98	1.41	0.91	0.297
Jesse Petty	97	0	L	656.7	0.597	4.56	3.71	3.54	0.300	6.80	2.59	0.90	0.282
Red Faber	98	0	R	462.7	0.368	3.21	4.32	3.85	0.301	6.61	1.73	1.03	0.288
Trey Yesavage	97	0	R	425	0.272	2.62	3.79	3.43	0.304	8.39	3.28	0.76	0.304
Joe Grzenda	98	0	L	403.7	0.000	1.27	3.34	2.83	0.287	7.47	2.59	0.56	0.300
Don Newcombe	95	5	R	385.3	1.000	6.21	3.74	3.29	0.279	7.64	2.34	0.70	0.280
Al Leiter	90	0	L	356	0.701	4.62	4.27	3.92	0.310	7.69	3.99	0.94	0.285
David Wells	99	0	L	352	0.721	5.18	4.04	3.81	0.294	7.08	1.69	0.77	0.299
Jesse Petty	97	5	L	352	0.982	6.29	3.66	3.30	0.298	7.03	2.35	0.72	0.302
Steve Carlton	96	5	L	350.3	1.000	6.04	4.03	3.67	0.308	8.32	3.01	0.87	0.308
R.A. Dickey	99	0	R	342	0.571	4.89	3.26	3.13	0.274	8.05	1.92	0.95	0.263
Connelly Early	96	5	L	341.3	1.000	6.83	2.80	2.56	0.270	7.17	1.42	0.63	0.283
Dutch Leonard	97	0	R	334.7	0.667	5.07	3.90	3.66	0.296	6.78	1.48	0.86	0.292
Justin Verlander	99	0	R	311.7	0.541	4.21	3.72	3.46	0.302	7.33	1.85	1.24	0.287
Trey Yesavage	97	5	R	305	0.548	4.18	4.01	3.72	0.308	8.03	3.33	0.53	0.322
Connelly Early	96	0	L	304.3	0.299	2.84	4.94	4.70	0.325	6.39	2.81	0.83	0.315
Pete Donohue	96	0	R	293	0.661	4.73	4.02	3.81	0.296	4.91	1.75	0.40	0.301
Payton Tolle	99	5	L	286	1.000	6.50	3.49	3.34	0.284	8.53	1.73	0.94	0.288
Andrew Bailey	94	0	R	282	0.000	1.17	3.41	3.22	0.286	8.07	3.00	0.99	0.266
Dock Ellis	85	0	R	280	0.440	3.73	4.44	4.24	0.319	6.11	2.99	1.09	0.286
Marcus Stroman	98	0	R	276.7	0.824	5.43	4.78	4.39	0.321	4.94	1.82	0.68	0.309
Noah Schultz	92	0	L	272.3	0.378	3.03	3.97	3.60	0.308	7.67	2.64	0.63	0.324
Satchel Paige	94	0	R	259.3	0.641	4.05	4.62	4.13	0.308	6.49	2.36	0.80	0.300
Max Fried	99	0	L	257.3	0.722	4.76	4.16	3.81	0.305	6.79	3.04	0.59	0.300
Zack Wheeler	99	0	R	242.3	0.949	6.21	4.68	4.49	0.308	6.83	2.08	1.26	0.278
Don Newcombe	95	0	R	238	0.316	3.13	3.48	3.37	0.298	6.39	2.04	0.79	0.289
Evan Phillips	98	0	R	222.3	0.000	1.06	3.72	3.52	0.306	7.77	2.31	0.97	0.302
Cla Meredith	99	0	R	195.3	0.000	1.21	2.95	2.72	0.267	6.41	1.43	0.92	0.247
Dave Barnhill	99	0	R	193	1.000	7.15	4.10	4.06	0.302	7.69	1.45	1.49	0.267
Sam Streeter	96	0	L	191.3	0.308	2.94	4.33	4.14	0.325	7.25	2.02	1.18	0.309
Tony Fossas	99	0	L	187.7	0.000	1.12	2.88	2.49	0.273	7.53	1.97	0.58	0.288
Alex Vesia	95	0	L	180.6	0.000	1.04	3.89	3.74	0.308	7.87	3.69	1.10	0.271
Al Leiter	90	5	L	174.3	1.000	6.23	3.51	3.15	0.298	7.64	4.44	0.52	0.283
Dizzy Trout	97	0	R	171	0.800	5.70	3.11	2.84	0.293	6.63	1.95	1.00	0.273
Hugh Daily	93	5	R	168.7	1.000	6.25	4.96	4.64	0.323	8.06	1.60	1.12	0.327
Jose Leclerc	99	0	R	162.7	0.000	1.05	3.93	3.76	0.318	8.24	4.70	0.77	0.307
Sam Jones	92	0	R	159.3	1.000	6.37	3.45	3.28	0.287	7.80	2.15	0.68	0.307
Logan Henderson	94	0	R	153	0.000	1.49	3.59	3.24	0.297	7.06	2.94	1.18	0.254
Babe Adams	98	5	R	129.3	1.000	6.81	3.62	3.34	0.310	3.90	2.02	0.63	0.294
Joe Sambito	98	0	L	128.7	0.000	1.25	3.08	2.87	0.304	8.11	2.03	0.70	0.323
Blake Snell	99	0	L	120.3	0.833	4.01	6.58	5.99	0.365	6.28	4.26	1.35	0.311
Mel Harder	99	0	R	111.7	0.519	4.14	4.67	4.03	0.326	5.48	2.34	0.56	0.329
Sonny Gray	99	0	R	111	1.000	6.17	3.97	3.97	0.300	6.73	3.89	0.65	0.271
Hugh Daily	93	0	R	104	0.094	1.96	3.38	3.38	0.277	8.91	1.64	0.87	0.291
Shane Bieber	94	5	R	99.3	1.000	7.09	2.45	2.45	0.244	8.79	2.08	0.36	0.266
Roger Wolff	96	0	R	98.3	0.667	4.68	4.12	3.85	0.289	6.68	1.56	0.92	0.294
Kazuhiro Sasaki	93	0	R	97	0.000	1.21	3.43	2.88	0.292	5.75	0.84	1.11	0.268
Sam Streeter	96	5	L	96.3	0.824	5.66	3.93	3.55	0.311	7.29	1.78	1.40	0.289
Satchel Paige	94	5	R	93.7	0.625	3.90	5.09	4.71	0.329	6.63	3.17	0.96	0.299
Smokey Joe Williams	94	5	R	83.3	1.000	6.41	3.78	3.57	0.292	8.10	3.03	1.08	0.257
Mel Harder	99	5	R	83.3	0.923	6.41	3.57	3.46	0.290	5.51	1.73	0.32	0.288
Babe Adams	98	0	R	80.7	0.600	4.04	4.80	4.68	0.333	3.46	1.23	0.56	0.318
Jose Alvarado	96	0	L	79.7	0.000	1.19	3.16	3.05	0.284	5.98	5.42	0.56	0.242
Lefty Gomez	96	5	L	78.7	0.240	3.15	2.40	2.06	0.276	9.83	3.66	0.57	0.288
Barney Morris	97	0	R	78	0.241	2.69	4.96	4.96	0.342	5.65	3.35	1.15	0.306
Cade Smith	98	0	R	77	0.000	1.10	3.86	3.62	0.298	9.12	4.21	0.47	0.307
Bill Hallahan	92	5	L	76.3	1.000	5.45	3.30	2.36	0.283	8.85	5.31	0.71	0.255
Joe Ryan	98	0	R	67.7	0.421	3.56	4.92	4.65	0.343	9.84	1.60	1.46	0.365
Jose Mendez	95	0	R	67.3	0.241	2.32	5.35	4.55	0.324	6.15	2.27	1.47	0.274
Hunter Brown	96	0	R	66	0.348	2.87	5.18	5.05	0.306	6.82	2.45	0.95	0.278
Mark Eichhorn	98	0	R	63	0.000	1.12	4.29	4.29	0.312	6.71	3.14	0.71	0.310
Sonny Siebert	97	0	R	59	0.318	2.68	5.64	5.34	0.338	7.17	2.90	1.22	0.323
Shane Bieber	94	0	R	57.7	0.250	2.89	3.90	3.43	0.278	9.51	2.18	0.94	0.270
Evan Phillips	98	5	R	56	0.000	1.04	3.86	3.05	0.286	8.52	2.09	0.48	0.302
Kent Tekulve	99	0	R	56	0.000	1.93	4.18	4.18	0.355	6.11	2.57	0.80	0.346
Ryne Duren	94	0	R	49.7	0.000	1.21	2.54	2.35	0.268	7.61	6.52	0.36	0.225
Tom Gordon	94	0	R	49.3	0.000	1.15	4.38	3.65	0.319	4.38	3.10	0.73	0.287
Smokey Joe Williams	94	0	R	49.3	0.037	1.83	3.47	3.10	0.341	7.30	3.65	0.91	0.325
Dan Haren	91	0	R	49	0.357	3.50	3.12	3.12	0.294	8.45	1.84	0.92	0.305
John Smoltz	97	0	R	48	0.000	1.04	4.31	4.12	0.349	8.06	1.69	1.69	0.333
Tom Candiotti	90	0	R	44.7	1.000	5.59	4.83	4.43	0.350	6.04	3.83	2.21	0.234
Pete Donohue	96	5	R	43.7	0.176	2.57	3.50	3.30	0.284	8.03	1.24	0.82	0.295
Jeff Montgomery	94	5	R	43.3	0.000	1.49	1.87	1.87	0.208	9.77	2.08	0.62	0.198
Kazuhiro Sasaki	93	5	R	42.7	0.000	0.99	3.37	2.74	0.274	6.96	2.53	0.63	0.276
Dave Righetti	85	0	L	41.7	0.000	1.81	4.32	3.24	0.299	6.04	1.73	1.08	0.276
Tyler Anderson	95	0	L	41	1.000	6.83	4.17	4.17	0.326	6.15	1.54	1.76	0.264
Rats Henderson	96	0	R	40.7	0.100	2.04	2.65	2.43	0.274	6.63	2.21	0.44	0.264
Satchel Paige	87	0	R	39	1.000	5.57	4.62	4.62	0.351	5.77	1.85	1.38	0.312
Sandy Koufax	93	0	L	38.7	0.000	1.33	2.79	2.56	0.272	7.67	3.26	0.70	0.255
Alex Vesia	95	5	L	38.3	0.000	1.16	1.64	1.64	0.251	9.16	1.88	0.00	0.315
Neal Cotts	94	0	L	38	0.000	1.31	2.37	2.37	0.270	6.63	3.32	1.18	0.224
Luis Tiant	93	5	L	36.7	0.000	1.67	3.19	2.94	0.271	8.83	3.43	0.74	0.273
Dave LaRoche	94	0	L	36.7	0.000	1.53	2.21	1.96	0.253	7.11	2.94	0.49	0.238
Tom Gordon	94	5	R	35.7	0.000	1.28	4.03	3.78	0.312	5.29	3.03	1.76	0.231
Logan Webb	97	0	R	34.7	0.000	1.45	5.71	4.93	0.357	8.82	1.56	1.04	0.389
Buddy Groom	90	0	L	34.3	0.000	1.18	2.62	2.10	0.292	5.77	1.57	0.00	0.347
Justin Verlander	99	5	R	33.7	1.000	5.62	5.61	5.61	0.348	10.68	2.14	2.14	0.310
Jacob deGrom	95	0	R	33.3	0.364	3.03	4.32	3.51	0.274	6.22	2.43	0.00	0.303
Jack Lynch	91	0	R	32.7	0.000	2.34	4.13	4.13	0.269	7.43	1.10	0.28	0.317
Hoyt Wilhelm	92	5	R	30.3	0.071	2.16	7.13	6.83	0.356	5.94	3.86	1.19	0.323
Dave Stieb	65	0	R	28.3	1.000	5.66	4.13	4.13	0.351	6.04	2.86	0.64	0.348
Dizzy Trout	97	5	R	27.7	1.000	6.92	4.22	3.57	0.350	7.47	2.27	0.65	0.365
Dwight Gooden	95	0	R	25	0.222	2.78	7.20	6.12	0.343	7.92	0.72	1.44	0.338
Spud Chandler	95	0	R	25	0.050	1.25	4.68	3.96	0.340	7.20	2.52	0.72	0.349
Whit Wyatt	68	0	R	24.3	1.000	6.08	4.44	3.70	0.336	8.89	2.96	0.74	0.355
Jose Leclerc	99	5	R	23	0.000	1.05	2.74	2.35	0.282	10.17	4.70	0.39	0.316
Al Worthington	86	0	R	22.7	0.000	1.19	3.57	1.59	0.228	6.34	2.78	0.00	0.235
Shane McClanahan	96	0	L	21.3	0.571	3.04	8.03	7.61	0.439	8.03	2.54	3.38	0.312
