# Iron Quick pitchers | coverage 2026-06-28 to 2026-07-12 | 178 of 821 Iron Quick tournaments | top 100 by IP
Name	VAL	VLvl	Hand	IP	GSper	IPpergame	RA9	ERA	wOBAA	K9	BB9	HR9	BABIP
Tom Seaver	56	0	R	12553.7	0.876	5.65	3.97	3.71	0.303	6.90	2.92	0.90	0.278
Mike Marshall	57	0	R	8728.3	0.009	1.68	3.24	2.95	0.286	8.07	2.52	0.57	0.299
Wilson Alvarez	59	0	L	6339.7	0.782	4.91	4.19	3.89	0.314	6.31	3.12	0.99	0.277
Wilson Alvarez	59	5	L	6151.7	0.968	6.18	3.92	3.63	0.304	6.70	2.71	0.88	0.283
Joe Krakauskas	57	0	L	6129.3	0.975	5.39	3.90	3.62	0.298	9.71	5.21	0.71	0.276
Samuel Deduno	58	0	R	5671.3	0.673	4.36	3.91	3.59	0.302	7.78	2.90	0.72	0.301
Vic Sorrell	56	5	R	4244.7	0.830	6.03	4.00	3.76	0.302	7.77	2.70	0.87	0.292
Bob Romby	58	0	L	4180.7	0.666	3.91	3.97	3.63	0.305	7.10	3.51	0.89	0.275
Ice Box Chamberlain	58	5	R	3885	0.981	6.31	3.91	3.62	0.298	6.93	2.34	0.89	0.280
Tim Keefe	58	0	R	3869.3	0.653	4.83	4.44	4.09	0.318	7.98	3.08	1.06	0.298
Justin Nicolino	55	0	L	3280.3	0.406	3.51	4.68	4.33	0.328	2.40	2.42	0.91	0.276
Tim Keefe	58	5	R	3161.7	0.948	6.36	3.90	3.65	0.300	8.23	2.65	0.99	0.285
Ice Box Chamberlain	58	0	R	2895	0.646	5.00	4.10	3.79	0.308	6.80	2.65	0.97	0.283
Bob Bruce	57	5	R	2800	0.792	5.38	4.08	3.79	0.307	8.12	3.29	1.03	0.284
Vicente Padilla	59	0	R	2654.3	0.903	5.75	4.57	4.12	0.323	5.43	2.26	1.11	0.287
Vicente Padilla	59	5	R	2589.3	0.993	6.30	3.96	3.48	0.300	5.77	2.14	0.91	0.274
Bartolo Colon	59	0	R	2406	0.531	3.91	3.71	3.41	0.301	8.56	3.76	0.73	0.294
Julian Merryweather	59	0	R	1843	0.004	1.16	3.61	3.42	0.306	8.15	2.81	0.92	0.301
Reed Garrett	49	0	R	1842.7	0.014	1.40	3.35	3.11	0.298	9.64	3.78	0.71	0.307
Hector Rondon	59	0	R	1839.7	0.000	1.23	3.52	3.23	0.299	7.76	2.43	0.62	0.308
Billy Wagner	58	0	L	1782.7	0.003	1.11	3.63	3.47	0.301	10.18	4.45	1.17	0.269
John Thomson	57	5	R	1764.3	0.882	5.94	4.24	3.83	0.309	6.61	1.92	0.94	0.293
Ed Figueroa	58	5	R	1751	1.000	6.49	4.00	3.72	0.301	5.25	2.08	0.93	0.271
Bob Klinger	59	0	R	1732.7	0.955	5.54	4.58	4.23	0.326	6.20	2.07	1.19	0.294
Charlie Hough	54	0	R	1709.3	0.868	5.64	4.18	3.89	0.315	6.32	2.18	1.06	0.285
Don Drysdale	59	0	R	1605.3	0.707	4.48	4.53	4.20	0.323	6.46	2.24	1.15	0.296
Harry Coveleski	59	0	L	1570	0.732	4.73	4.90	4.61	0.337	5.51	2.71	1.22	0.296
Mike Stanton	56	0	R	1558	0.018	1.30	3.44	3.18	0.295	7.80	2.43	0.76	0.293
Ches Buchanan	57	5	R	1538	0.988	6.18	4.20	3.94	0.317	4.41	1.58	0.89	0.291
Cecil Upshaw	59	0	R	1512.7	0.002	1.74	3.97	3.58	0.309	6.65	1.61	0.80	0.310
Kirk Rueter	59	0	L	1470	0.840	5.10	4.83	4.36	0.327	3.74	1.90	0.97	0.291
Hector Carrasco	59	0	R	1442.7	0.029	1.17	3.51	3.22	0.298	7.10	2.23	0.62	0.305
Grant Holmes	59	0	R	1393	0.996	6.00	4.17	3.90	0.309	7.56	2.35	1.14	0.286
Tim Wakefield	58	0	R	1378.3	0.582	4.20	3.79	3.51	0.299	6.14	2.75	0.68	0.283
Patricio Scantlebury	56	0	L	1356.7	0.779	5.16	3.85	3.48	0.300	6.84	3.00	0.40	0.305
Bunny Hearn	55	0	L	1272.3	0.550	4.24	4.77	4.45	0.330	4.73	1.81	1.15	0.295
Ed Figueroa	58	0	R	1219.3	0.896	5.75	4.71	4.37	0.328	4.81	2.38	1.06	0.291
Luis Perdomo	59	0	R	1201.3	0.004	1.46	3.69	3.45	0.307	4.74	1.85	0.73	0.290
Mark Melancon	59	0	R	1197.7	0.000	1.13	3.40	3.10	0.297	6.13	2.74	0.59	0.287
JT Brubaker	59	0	R	1182.3	0.894	3.91	4.30	3.98	0.320	5.52	2.50	1.08	0.283
Kyle Backhus	59	0	L	1138.3	0.004	1.22	3.19	2.93	0.297	7.97	2.50	0.81	0.298
Curt Simmons	56	5	L	1105	0.690	4.83	3.80	3.62	0.304	8.04	3.33	0.88	0.288
Pedro Martinez	51	0	L	1077.7	0.010	1.18	3.47	3.21	0.294	7.72	3.70	0.83	0.270
Salomon Torres	56	0	R	1013.7	0.000	1.32	3.76	3.48	0.311	5.26	2.61	0.92	0.279
Bob Bruce	57	0	R	962	0.586	3.86	4.77	4.43	0.337	7.68	3.64	1.02	0.316
Justin Nicolino	55	5	L	946.7	0.802	5.20	4.57	4.11	0.319	2.82	2.32	0.67	0.284
Tyler Ferguson	59	0	R	937.7	0.033	1.20	3.75	3.51	0.302	7.65	2.63	0.77	0.301
Tim Herrin	59	0	L	930	0.001	1.30	3.44	3.10	0.297	7.79	3.08	0.83	0.285
Andrew Chafin	59	0	L	926.3	0.006	1.10	3.44	3.26	0.294	8.74	3.07	0.82	0.292
Hal McKain	57	0	R	906	0.000	1.38	3.34	3.01	0.294	8.80	3.21	0.67	0.300
Fred Goldsmith	59	0	R	880.3	0.476	4.15	4.28	3.89	0.323	5.19	1.64	1.03	0.301
Antonio Alfonseca	59	0	R	821	0.000	1.15	4.10	3.69	0.313	5.46	2.29	0.60	0.312
Double Duty Radcliffe	57	0	R	806.3	0.750	4.80	4.94	4.54	0.328	5.22	2.82	0.75	0.306
Sam Moll	57	0	L	780.7	0.004	1.10	3.55	3.30	0.297	7.90	3.22	0.86	0.277
Gene Conley	57	5	R	758.7	1.000	6.54	4.06	3.67	0.299	5.10	1.65	0.77	0.280
Cal Quantrill	59	0	R	754.7	0.776	3.93	4.07	3.88	0.308	5.44	1.71	1.09	0.276
Don Drysdale	59	5	R	751.7	1.000	5.74	3.82	3.62	0.296	6.92	1.82	0.90	0.282
Harry Coveleski	59	5	L	727	1.000	6.21	4.06	3.71	0.311	6.39	2.66	1.00	0.277
Tom Morgan	58	5	R	719	0.000	1.37	2.53	2.34	0.269	4.38	1.78	0.41	0.257
Austin Gomber	59	0	L	706.7	0.970	5.31	5.00	4.75	0.333	6.65	1.91	1.40	0.298
Ramon Arano	55	5	R	704.3	0.771	5.03	3.69	3.42	0.296	4.31	2.11	0.56	0.278
Rod Beck	59	0	R	703.3	0.000	1.29	4.56	4.11	0.326	8.01	1.96	1.36	0.308
Kendry Rojas	59	0	L	689.3	0.969	5.30	4.60	4.11	0.318	7.52	2.68	0.97	0.303
Ches Buchanan	57	0	R	678.3	0.901	5.61	5.15	4.55	0.336	3.65	1.91	0.96	0.301
Ramon Arano	55	0	R	676	0.491	3.86	5.03	4.74	0.336	3.98	2.32	0.91	0.300
Ken Lehman	57	0	L	668.3	0.061	1.40	3.51	3.25	0.295	6.84	2.01	0.69	0.296
Isaac Mattson	58	0	R	653.7	0.033	1.35	2.84	2.66	0.280	7.83	2.66	0.63	0.281
Matt Davidson	56	0	R	644.3	0.004	1.42	4.01	3.73	0.318	7.26	2.53	1.06	0.301
Logan Allen	59	0	L	635.3	0.871	4.57	4.50	4.16	0.329	6.05	2.51	1.01	0.309
TJ House	50	0	L	619.3	0.757	5.58	3.92	3.50	0.311	6.66	1.96	0.97	0.295
Paxton Schultz	59	0	R	597.7	0.974	3.83	5.38	5.10	0.352	6.01	2.73	1.22	0.321
Floyd Bannister	57	0	L	560.3	0.978	6.09	4.92	4.40	0.328	5.27	1.88	1.45	0.275
JP Sears	59	0	L	544.3	0.966	6.19	3.95	3.65	0.307	6.85	2.07	1.29	0.266
Floyd Bannister	57	5	L	539	0.870	5.39	5.38	4.79	0.345	5.73	1.40	1.39	0.307
Sparky Lyle	51	0	L	526.3	0.000	1.43	3.83	3.40	0.312	6.33	2.51	1.30	0.263
Tyler Samaniego	59	0	L	523	0.006	1.56	3.61	3.34	0.296	7.04	2.05	0.77	0.293
Cade Povich	59	0	L	516.7	0.730	4.65	4.35	4.02	0.317	7.16	2.60	1.18	0.288
Tom Morgan	58	0	R	505	0.000	1.45	3.83	3.55	0.305	3.60	2.10	0.62	0.276
Reed Garrett	49	5	R	495.7	0.000	1.39	3.27	3.05	0.290	10.19	3.52	0.44	0.320
Jack Bentley	58	0	L	488.3	0.602	4.32	4.50	4.26	0.319	6.36	3.08	1.05	0.283
Luis Perdomo	59	5	R	471.3	0.000	1.28	3.27	2.86	0.285	5.42	1.53	0.50	0.286
Hector Carrasco	59	5	R	460	0.000	1.19	3.85	3.52	0.312	7.16	2.47	0.61	0.322
Rico Garcia	59	0	R	459.3	0.000	1.08	3.53	3.25	0.284	9.52	2.19	0.86	0.296
Don Schwall	52	0	R	452.7	0.457	3.56	5.51	4.89	0.338	5.98	5.07	0.56	0.307
Curt Simmons	56	0	L	450	0.322	1.98	3.38	3.18	0.291	8.62	3.84	0.64	0.283
Vic Sorrell	56	0	R	431	0.973	5.90	3.99	3.78	0.311	7.06	3.40	0.79	0.291
Brennan Bernardino	58	0	L	407	0.000	1.18	3.47	3.21	0.294	6.43	2.63	0.71	0.284
Glen Perkins	56	0	L	402	0.000	1.40	3.85	3.54	0.315	7.07	1.41	1.59	0.278
John Thomson	57	0	R	393	0.236	5.46	3.98	3.62	0.307	6.37	1.65	0.87	0.293
Paul Shuey	57	0	R	382.3	0.000	1.21	2.73	2.54	0.270	8.55	3.23	0.64	0.268
Ryan Zeferjahn	56	0	R	380.7	0.000	1.29	3.14	2.93	0.300	9.20	3.22	0.99	0.286
Edwin Jackson	58	0	R	374	1.000	6.13	4.69	4.26	0.312	6.74	2.00	1.11	0.289
Jack Russell	58	5	R	372	0.000	1.58	3.24	2.95	0.295	7.60	2.15	0.73	0.300
Steve Olin	58	0	R	371.7	0.018	1.37	4.04	3.73	0.314	7.05	2.45	0.85	0.311
Cole Sulser	58	0	R	370.3	0.000	1.18	4.40	4.25	0.328	7.83	2.07	1.36	0.308
Bob Romby	58	5	L	368.7	0.648	5.19	3.93	3.71	0.290	7.74	2.76	0.88	0.272
Lefty Gomez	54	5	L	363.3	0.921	4.78	6.09	5.95	0.336	8.45	5.97	0.89	0.304
Skip Lockwood	58	0	R	343.3	0.000	1.20	3.91	3.70	0.317	8.81	2.52	1.28	0.301
Noah Schultz	58	0	L	339.3	0.800	3.08	4.01	3.85	0.311	7.06	3.08	0.98	0.287
Bunny Hearn	55	5	L	338	0.725	4.90	5.03	4.77	0.348	5.75	2.34	1.17	0.318
